5772b0ca|ACH:ACH 200VALJADE_HOWTO
4485330d|info:INFO_IKENX4_00010091
4485330e|info:INFO_IKENX4_00010092
4485330f|info:INFO_IKENX4_00010093
44853310|info:INFO_IKENX4_00010094
44853312|info:INFO_IKENX4_00010096
44853313|info:INFO_IKENX4_00010097
44853314|info:INFO_IKENX4_00010098
44853315|info:INFO_IKENX4_00010099
44853624|info:INFO_IKENX4_00010100
44853625|info:INFO_IKENX4_00010101
44853626|info:INFO_IKENX4_00010102
44853627|info:INFO_IKENX4_00010103
44853628|info:INFO_IKENX4_00010104
44853629|info:INFO_IKENX4_00010105
4485362d|info:INFO_IKENX4_00010109
44853645|info:INFO_IKENX4_00010110
44853646|info:INFO_IKENX4_00010111
44853647|info:INFO_IKENX4_00010112
44853648|info:INFO_IKENX4_00010113
44853649|info:INFO_IKENX4_00010114
4485364a|info:INFO_IKENX4_00010115
4485364b|info:INFO_IKENX4_00010116
4485364c|info:INFO_IKENX4_00010117
4485364d|info:INFO_IKENX4_00010118
4485364e|info:INFO_IKENX4_00010119
44853666|info:INFO_IKENX4_00010120
44853667|info:INFO_IKENX4_00010121
44853668|info:INFO_IKENX4_00010122
4485366b|info:INFO_IKENX4_00010125
4485366e|info:INFO_IKENX4_00010128
4485366f|info:INFO_IKENX4_00010129
44853687|info:INFO_IKENX4_00010130
44853689|info:INFO_IKENX4_00010132
4485368a|info:INFO_IKENX4_00010133
4485368d|info:INFO_IKENX4_00010136
4485368e|info:INFO_IKENX4_00010137
4485368f|info:INFO_IKENX4_00010138
44853690|info:INFO_IKENX4_00010139
448536a8|info:INFO_IKENX4_00010140
448536a9|info:INFO_IKENX4_00010141
448536aa|info:INFO_IKENX4_00010142
448536ab|info:INFO_IKENX4_00010143
448536ac|info:INFO_IKENX4_00010144
448536ad|info:INFO_IKENX4_00010145
448536b0|info:INFO_IKENX4_00010148
448536b1|info:INFO_IKENX4_00010149
448536c9|info:INFO_IKENX4_00010150
448536ca|info:INFO_IKENX4_00010151
448536cb|info:INFO_IKENX4_00010152
448536cd|info:INFO_IKENX4_00010154
448536ec|info:INFO_IKENX4_00010162
448536ed|info:INFO_IKENX4_00010163
448536ee|info:INFO_IKENX4_00010164
448536ef|info:INFO_IKENX4_00010165
448536f0|info:INFO_IKENX4_00010166
448536f1|info:INFO_IKENX4_00010167
448536f3|info:INFO_IKENX4_00010169
4485370b|info:INFO_IKENX4_00010170
4485370c|info:INFO_IKENX4_00010171
4485370d|info:INFO_IKENX4_00010172
4485370f|info:INFO_IKENX4_00010174
44853710|info:INFO_IKENX4_00010175
44853711|info:INFO_IKENX4_00010176
44853712|info:INFO_IKENX4_00010177
44853713|info:INFO_IKENX4_00010178
44853714|info:INFO_IKENX4_00010179
4485372c|info:INFO_IKENX4_00010180
4485372d|info:INFO_IKENX4_00010181
4485372e|info:INFO_IKENX4_00010182
4485372f|info:INFO_IKENX4_00010183
44853730|info:INFO_IKENX4_00010184
44853731|info:INFO_IKENX4_00010185
44853732|info:INFO_IKENX4_00010186
44853735|info:INFO_IKENX4_00010189
4485374d|info:INFO_IKENX4_00010190
4485374e|info:INFO_IKENX4_00010191
4485374f|info:INFO_IKENX4_00010192
44853750|info:INFO_IKENX4_00010193
44853751|info:INFO_IKENX4_00010194
44853752|info:INFO_IKENX4_00010195
44853753|info:INFO_IKENX4_00010196
44853754|info:INFO_IKENX4_00010197
44853755|info:INFO_IKENX4_00010198
44853756|info:INFO_IKENX4_00010199
44853a65|info:INFO_IKENX4_00010200
44853a67|info:INFO_IKENX4_00010202
44853a68|info:INFO_IKENX4_00010203
44853a6a|info:INFO_IKENX4_00010205
44853a6b|info:INFO_IKENX4_00010206
44853a6c|info:INFO_IKENX4_00010207
44853a6d|info:INFO_IKENX4_00010208
44853a6e|info:INFO_IKENX4_00010209
44853a86|info:INFO_IKENX4_00010210
44853a87|info:INFO_IKENX4_00010211
44853a88|info:INFO_IKENX4_00010212
44853a89|info:INFO_IKENX4_00010213
44853a8a|info:INFO_IKENX4_00010214
44853a8b|info:INFO_IKENX4_00010215
44853a8c|info:INFO_IKENX4_00010216
44853a8f|info:INFO_IKENX4_00010219
44853aa7|info:INFO_IKENX4_00010220
44853aa8|info:INFO_IKENX4_00010221
44853aa9|info:INFO_IKENX4_00010222
44853aaa|info:INFO_IKENX4_00010223
44853aab|info:INFO_IKENX4_00010224
44853aac|info:INFO_IKENX4_00010225
44853aad|info:INFO_IKENX4_00010226
44853aae|info:INFO_IKENX4_00010227
44853ab0|info:INFO_IKENX4_00010229
44853ac8|info:INFO_IKENX4_00010230
44853ac9|info:INFO_IKENX4_00010231
44853aca|info:INFO_IKENX4_00010232
44853acb|info:INFO_IKENX4_00010233
44853acc|info:INFO_IKENX4_00010234
44853acd|info:INFO_IKENX4_00010235
44853ace|info:INFO_IKENX4_00010236
44853acf|info:INFO_IKENX4_00010237
44853ad0|info:INFO_IKENX4_00010238
44853ad1|info:INFO_IKENX4_00010239
44853ae9|info:INFO_IKENX4_00010240
44853aea|info:INFO_IKENX4_00010241
44853aec|info:INFO_IKENX4_00010243
44853aed|info:INFO_IKENX4_00010244
44853aee|info:INFO_IKENX4_00010245
44853aef|info:INFO_IKENX4_00010246
44853af0|info:INFO_IKENX4_00010247
44853af1|info:INFO_IKENX4_00010248
44853af2|info:INFO_IKENX4_00010249
44853b0a|info:INFO_IKENX4_00010250
44853b0b|info:INFO_IKENX4_00010251
44853b0c|info:INFO_IKENX4_00010252
44853b0d|info:INFO_IKENX4_00010253
44853b0f|info:INFO_IKENX4_00010255
44853b11|info:INFO_IKENX4_00010257
44853b12|info:INFO_IKENX4_00010258
44853b13|info:INFO_IKENX4_00010259
44853b2b|info:INFO_IKENX4_00010260
44853b2c|info:INFO_IKENX4_00010261
44853b2d|info:INFO_IKENX4_00010262
44853b30|info:INFO_IKENX4_00010265
44853b31|info:INFO_IKENX4_00010266
44853b32|info:INFO_IKENX4_00010267
44853b33|info:INFO_IKENX4_00010268
44853b34|info:INFO_IKENX4_00010269
44853b4c|info:INFO_IKENX4_00010270
44853b4d|info:INFO_IKENX4_00010271
44853b4e|info:INFO_IKENX4_00010272
44853b4f|info:INFO_IKENX4_00010273
44853b50|info:INFO_IKENX4_00010274
44853b51|info:INFO_IKENX4_00010275
44853b52|info:INFO_IKENX4_00010276
44853b53|info:INFO_IKENX4_00010277
44853b54|info:INFO_IKENX4_00010278
44853b55|info:INFO_IKENX4_00010279
44853b6d|info:INFO_IKENX4_00010280
44853b6e|info:INFO_IKENX4_00010281
44853b6f|info:INFO_IKENX4_00010282
44853b73|info:INFO_IKENX4_00010286
44853b74|info:INFO_IKENX4_00010287
44853b75|info:INFO_IKENX4_00010288
44853b76|info:INFO_IKENX4_00010289
44853b8e|info:INFO_IKENX4_00010290
44853b8f|info:INFO_IKENX4_00010291
44853b90|info:INFO_IKENX4_00010292
44853b91|info:INFO_IKENX4_00010293
44853b93|info:INFO_IKENX4_00010295
44853b94|info:INFO_IKENX4_00010296
44853b95|info:INFO_IKENX4_00010297
44853b96|info:INFO_IKENX4_00010298
44853b97|info:INFO_IKENX4_00010299
44853ea6|info:INFO_IKENX4_00010300
44853ea7|info:INFO_IKENX4_00010301
44853ea8|info:INFO_IKENX4_00010302
44853ea9|info:INFO_IKENX4_00010303
44853eaa|info:INFO_IKENX4_00010304
44853eab|info:INFO_IKENX4_00010305
44853ead|info:INFO_IKENX4_00010307
44853eae|info:INFO_IKENX4_00010308
44853eaf|info:INFO_IKENX4_00010309
44853ec7|info:INFO_IKENX4_00010310
44853ec8|info:INFO_IKENX4_00010311
44853ec9|info:INFO_IKENX4_00010312
44853eca|info:INFO_IKENX4_00010313
44853ecb|info:INFO_IKENX4_00010314
44853ecc|info:INFO_IKENX4_00010315
44853ecd|info:INFO_IKENX4_00010316
44853ece|info:INFO_IKENX4_00010317
44853ecf|info:INFO_IKENX4_00010318
44853ed0|info:INFO_IKENX4_00010319
44853ee8|info:INFO_IKENX4_00010320
44853ee9|info:INFO_IKENX4_00010321
44853eeb|info:INFO_IKENX4_00010323
44853eec|info:INFO_IKENX4_00010324
44853eed|info:INFO_IKENX4_00010325
44853eee|info:INFO_IKENX4_00010326
44853eef|info:INFO_IKENX4_00010327
44853ef0|info:INFO_IKENX4_00010328
44853ef1|info:INFO_IKENX4_00010329
44853f09|info:INFO_IKENX4_00010330
44853f0a|info:INFO_IKENX4_00010331
44853f0b|info:INFO_IKENX4_00010332
44853f0c|info:INFO_IKENX4_00010333
44853f0d|info:INFO_IKENX4_00010334
44853f0e|info:INFO_IKENX4_00010335
44853f0f|info:INFO_IKENX4_00010336
44853f10|info:INFO_IKENX4_00010337
44853f12|info:INFO_IKENX4_00010339
44853f2a|info:INFO_IKENX4_00010340
44853f2b|info:INFO_IKENX4_00010341
44853f2c|info:INFO_IKENX4_00010342
44853f2d|info:INFO_IKENX4_00010343
44853f2e|info:INFO_IKENX4_00010344
44853f2f|info:INFO_IKENX4_00010345
44853f30|info:INFO_IKENX4_00010346
44853f31|info:INFO_IKENX4_00010347
44853f32|info:INFO_IKENX4_00010348
44853f33|info:INFO_IKENX4_00010349
44853f4c|info:INFO_IKENX4_00010351
44853f4d|info:INFO_IKENX4_00010352
44853f4e|info:INFO_IKENX4_00010353
44853f4f|info:INFO_IKENX4_00010354
44853f50|info:INFO_IKENX4_00010355
44853f51|info:INFO_IKENX4_00010356
44853f53|info:INFO_IKENX4_00010358
44853f54|info:INFO_IKENX4_00010359
44853f6c|info:INFO_IKENX4_00010360
44853f6d|info:INFO_IKENX4_00010361
44853f6e|info:INFO_IKENX4_00010362
44853f6f|info:INFO_IKENX4_00010363
44853f70|info:INFO_IKENX4_00010364
44853f71|info:INFO_IKENX4_00010365
44853f72|info:INFO_IKENX4_00010366
44853f73|info:INFO_IKENX4_00010367
44853f74|info:INFO_IKENX4_00010368
44853f75|info:INFO_IKENX4_00010369
44853f8d|info:INFO_IKENX4_00010370
44853f8e|info:INFO_IKENX4_00010371
44853f8f|info:INFO_IKENX4_00010372
44853f90|info:INFO_IKENX4_00010373
44853f91|info:INFO_IKENX4_00010374
44853f92|info:INFO_IKENX4_00010375
44853f93|info:INFO_IKENX4_00010376
44853f94|info:INFO_IKENX4_00010377
44853f95|info:INFO_IKENX4_00010378
44853f96|info:INFO_IKENX4_00010379
44853fae|info:INFO_IKENX4_00010380
44853faf|info:INFO_IKENX4_00010381
44853fb0|info:INFO_IKENX4_00010382
44853fb1|info:INFO_IKENX4_00010383
44853fb2|info:INFO_IKENX4_00010384
44853fb3|info:INFO_IKENX4_00010385
44853fb4|info:INFO_IKENX4_00010386
44853fb5|info:INFO_IKENX4_00010387
44853fb6|info:INFO_IKENX4_00010388
44853fb7|info:INFO_IKENX4_00010389
44853fcf|info:INFO_IKENX4_00010390
44853fd0|info:INFO_IKENX4_00010391
44853fd1|info:INFO_IKENX4_00010392
44853fd2|info:INFO_IKENX4_00010393
44853fd4|info:INFO_IKENX4_00010395
44853fd5|info:INFO_IKENX4_00010396
44853fd6|info:INFO_IKENX4_00010397
44853fd7|info:INFO_IKENX4_00010398
448542e7|info:INFO_IKENX4_00010400
448542e8|info:INFO_IKENX4_00010401
448542e9|info:INFO_IKENX4_00010402
448542ea|info:INFO_IKENX4_00010403
448542eb|info:INFO_IKENX4_00010404
448542ec|info:INFO_IKENX4_00010405
448542ed|info:INFO_IKENX4_00010406
448542ef|info:INFO_IKENX4_00010408
448542f0|info:INFO_IKENX4_00010409
44854308|info:INFO_IKENX4_00010410
44854309|info:INFO_IKENX4_00010411
4485430a|info:INFO_IKENX4_00010412
4485430b|info:INFO_IKENX4_00010413
4485430c|info:INFO_IKENX4_00010414
4485430d|info:INFO_IKENX4_00010415
4485430e|info:INFO_IKENX4_00010416
4485430f|info:INFO_IKENX4_00010417
44854310|info:INFO_IKENX4_00010418
44854311|info:INFO_IKENX4_00010419
44854329|info:INFO_IKENX4_00010420
4485432a|info:INFO_IKENX4_00010421
4485432b|info:INFO_IKENX4_00010422
4485432c|info:INFO_IKENX4_00010423
4485432d|info:INFO_IKENX4_00010424
4485432e|info:INFO_IKENX4_00010425
4485432f|info:INFO_IKENX4_00010426
44854330|info:INFO_IKENX4_00010427
44854331|info:INFO_IKENX4_00010428
44854332|info:INFO_IKENX4_00010429
4485434a|info:INFO_IKENX4_00010430
4485434b|info:INFO_IKENX4_00010431
4485434c|info:INFO_IKENX4_00010432
4485434d|info:INFO_IKENX4_00010433
4485434e|info:INFO_IKENX4_00010434
4485434f|info:INFO_IKENX4_00010435
44854350|info:INFO_IKENX4_00010436
44854351|info:INFO_IKENX4_00010437
44854352|info:INFO_IKENX4_00010438
44854353|info:INFO_IKENX4_00010439
4485436b|info:INFO_IKENX4_00010440
4485436c|info:INFO_IKENX4_00010441
4485436d|info:INFO_IKENX4_00010442
4485436e|info:INFO_IKENX4_00010443
4485436f|info:INFO_IKENX4_00010444
44854371|info:INFO_IKENX4_00010446
44854372|info:INFO_IKENX4_00010447
44854373|info:INFO_IKENX4_00010448
4485438c|info:INFO_IKENX4_00010450
4485438d|info:INFO_IKENX4_00010451
4485438e|info:INFO_IKENX4_00010452
44854390|info:INFO_IKENX4_00010454
44854391|info:INFO_IKENX4_00010455
44854392|info:INFO_IKENX4_00010456
44854393|info:INFO_IKENX4_00010457
44854394|info:INFO_IKENX4_00010458
44854395|info:INFO_IKENX4_00010459
448543ad|info:INFO_IKENX4_00010460
448543ae|info:INFO_IKENX4_00010461
448543af|info:INFO_IKENX4_00010462
448543b0|info:INFO_IKENX4_00010463
448543b1|info:INFO_IKENX4_00010464
448543b2|info:INFO_IKENX4_00010465
448543b3|info:INFO_IKENX4_00010466
448543b4|info:INFO_IKENX4_00010467
448543b5|info:INFO_IKENX4_00010468
448543b6|info:INFO_IKENX4_00010469
448543ce|info:INFO_IKENX4_00010470
448543cf|info:INFO_IKENX4_00010471
448543d0|info:INFO_IKENX4_00010472
448543d1|info:INFO_IKENX4_00010473
448543d2|info:INFO_IKENX4_00010474
448543d3|info:INFO_IKENX4_00010475
448543d4|info:INFO_IKENX4_00010476
448543d5|info:INFO_IKENX4_00010477
448543d7|info:INFO_IKENX4_00010479
448543f0|info:INFO_IKENX4_00010481
448543f1|info:INFO_IKENX4_00010482
448543f2|info:INFO_IKENX4_00010483
448543f3|info:INFO_IKENX4_00010484
448543f4|info:INFO_IKENX4_00010485
448543f5|info:INFO_IKENX4_00010486
448543f7|info:INFO_IKENX4_00010488
448543f8|info:INFO_IKENX4_00010489
44854410|info:INFO_IKENX4_00010490
44854411|info:INFO_IKENX4_00010491
44854412|info:INFO_IKENX4_00010492
44854413|info:INFO_IKENX4_00010493
44854414|info:INFO_IKENX4_00010494
44854415|info:INFO_IKENX4_00010495
44854416|info:INFO_IKENX4_00010496
44854417|info:INFO_IKENX4_00010497
44854418|info:INFO_IKENX4_00010498
44854419|info:INFO_IKENX4_00010499
44854728|info:INFO_IKENX4_00010500
44854729|info:INFO_IKENX4_00010501
4485472a|info:INFO_IKENX4_00010502
4485472b|info:INFO_IKENX4_00010503
4485472c|info:INFO_IKENX4_00010504
4485472d|info:INFO_IKENX4_00010505
4485472e|info:INFO_IKENX4_00010506
4485472f|info:INFO_IKENX4_00010507
44854730|info:INFO_IKENX4_00010508
44854731|info:INFO_IKENX4_00010509
44854749|info:INFO_IKENX4_00010510
4485474a|info:INFO_IKENX4_00010511
4485474b|info:INFO_IKENX4_00010512
4485474c|info:INFO_IKENX4_00010513
4485474d|info:INFO_IKENX4_00010514
4485474e|info:INFO_IKENX4_00010515
4485474f|info:INFO_IKENX4_00010516
44854750|info:INFO_IKENX4_00010517
44854751|info:INFO_IKENX4_00010518
44854752|info:INFO_IKENX4_00010519
4485476a|info:INFO_IKENX4_00010520
4485476b|info:INFO_IKENX4_00010521
4485476c|info:INFO_IKENX4_00010522
4485476d|info:INFO_IKENX4_00010523
4485476e|info:INFO_IKENX4_00010524
4485476f|info:INFO_IKENX4_00010525
44854770|info:INFO_IKENX4_00010526
44854771|info:INFO_IKENX4_00010527
44854772|info:INFO_IKENX4_00010528
44854773|info:INFO_IKENX4_00010529
4485478b|info:INFO_IKENX4_00010530
4485478c|info:INFO_IKENX4_00010531
4485478d|info:INFO_IKENX4_00010532
4485478e|info:INFO_IKENX4_00010533
4485478f|info:INFO_IKENX4_00010534
44854791|info:INFO_IKENX4_00010536
44854792|info:INFO_IKENX4_00010537
44854793|info:INFO_IKENX4_00010538
44854794|info:INFO_IKENX4_00010539
448547ac|info:INFO_IKENX4_00010540
448547ad|info:INFO_IKENX4_00010541
448547ae|info:INFO_IKENX4_00010542
448547af|info:INFO_IKENX4_00010543
448547b0|info:INFO_IKENX4_00010544
448547b1|info:INFO_IKENX4_00010545
448547b2|info:INFO_IKENX4_00010546
448547b3|info:INFO_IKENX4_00010547
448547b4|info:INFO_IKENX4_00010548
448547b5|info:INFO_IKENX4_00010549
448547cd|info:INFO_IKENX4_00010550
448547ce|info:INFO_IKENX4_00010551
448547cf|info:INFO_IKENX4_00010552
448547d1|info:INFO_IKENX4_00010554
448547d2|info:INFO_IKENX4_00010555
448547d3|info:INFO_IKENX4_00010556
448547d4|info:INFO_IKENX4_00010557
448547d5|info:INFO_IKENX4_00010558
448547d6|info:INFO_IKENX4_00010559
448547ee|info:INFO_IKENX4_00010560
448547ef|info:INFO_IKENX4_00010561
448547f0|info:INFO_IKENX4_00010562
448547f1|info:INFO_IKENX4_00010563
448547f2|info:INFO_IKENX4_00010564
448547f3|info:INFO_IKENX4_00010565
448547f5|info:INFO_IKENX4_00010567
448547f6|info:INFO_IKENX4_00010568
448547f7|info:INFO_IKENX4_00010569
4485480f|info:INFO_IKENX4_00010570
44854810|info:INFO_IKENX4_00010571
44854811|info:INFO_IKENX4_00010572
44854812|info:INFO_IKENX4_00010573
44854813|info:INFO_IKENX4_00010574
44854814|info:INFO_IKENX4_00010575
44854815|info:INFO_IKENX4_00010576
44854816|info:INFO_IKENX4_00010577
44854817|info:INFO_IKENX4_00010578
44854818|info:INFO_IKENX4_00010579
44854830|info:INFO_IKENX4_00010580
44854831|info:INFO_IKENX4_00010581
44854832|info:INFO_IKENX4_00010582
44854833|info:INFO_IKENX4_00010583
44854836|info:INFO_IKENX4_00010586
44854838|info:INFO_IKENX4_00010588
44854853|info:INFO_IKENX4_00010592
44854858|info:INFO_IKENX4_00010597
44854859|info:INFO_IKENX4_00010598
4485485a|info:INFO_IKENX4_00010599
44854b69|info:INFO_IKENX4_00010600
44854b6b|info:INFO_IKENX4_00010602
44854b6d|info:INFO_IKENX4_00010604
44854b6e|info:INFO_IKENX4_00010605
44854b6f|info:INFO_IKENX4_00010606
44854b70|info:INFO_IKENX4_00010607
44854b71|info:INFO_IKENX4_00010608
44854b72|info:INFO_IKENX4_00010609
44854b8a|info:INFO_IKENX4_00010610
44854b8b|info:INFO_IKENX4_00010611
44854b8c|info:INFO_IKENX4_00010612
44854b8d|info:INFO_IKENX4_00010613
44854b8e|info:INFO_IKENX4_00010614
44854b8f|info:INFO_IKENX4_00010615
44854b91|info:INFO_IKENX4_00010617
44854b92|info:INFO_IKENX4_00010618
44854b93|info:INFO_IKENX4_00010619
44854bab|info:INFO_IKENX4_00010620
44854bac|info:INFO_IKENX4_00010621
44854bad|info:INFO_IKENX4_00010622
44854bae|info:INFO_IKENX4_00010623
44854baf|info:INFO_IKENX4_00010624
44854bb0|info:INFO_IKENX4_00010625
44854bb3|info:INFO_IKENX4_00010628
44854bb4|info:INFO_IKENX4_00010629
44854bcc|info:INFO_IKENX4_00010630
44854bcd|info:INFO_IKENX4_00010631
44854bce|info:INFO_IKENX4_00010632
44854bcf|info:INFO_IKENX4_00010633
44854bd0|info:INFO_IKENX4_00010634
44854bd1|info:INFO_IKENX4_00010635
44854bd2|info:INFO_IKENX4_00010636
44854bd3|info:INFO_IKENX4_00010637
44854bd4|info:INFO_IKENX4_00010638
44854bd5|info:INFO_IKENX4_00010639
44854bed|info:INFO_IKENX4_00010640
44854bee|info:INFO_IKENX4_00010641
44854bef|info:INFO_IKENX4_00010642
44854bf0|info:INFO_IKENX4_00010643
44854bf1|info:INFO_IKENX4_00010644
44854bf3|info:INFO_IKENX4_00010646
44854bf5|info:INFO_IKENX4_00010648
44854bf6|info:INFO_IKENX4_00010649
44854c0e|info:INFO_IKENX4_00010650
44854c0f|info:INFO_IKENX4_00010651
44854c10|info:INFO_IKENX4_00010652
44854c11|info:INFO_IKENX4_00010653
44854c12|info:INFO_IKENX4_00010654
44854c13|info:INFO_IKENX4_00010655
44854c14|info:INFO_IKENX4_00010656
44854c15|info:INFO_IKENX4_00010657
44854c16|info:INFO_IKENX4_00010658
44854c17|info:INFO_IKENX4_00010659
44854c2f|info:INFO_IKENX4_00010660
44854c30|info:INFO_IKENX4_00010661
44854c31|info:INFO_IKENX4_00010662
44854c32|info:INFO_IKENX4_00010663
44854c33|info:INFO_IKENX4_00010664
44854c34|info:INFO_IKENX4_00010665
44854c35|info:INFO_IKENX4_00010666
44854c36|info:INFO_IKENX4_00010667
44854c37|info:INFO_IKENX4_00010668
44854c38|info:INFO_IKENX4_00010669
44854c50|info:INFO_IKENX4_00010670
44854c51|info:INFO_IKENX4_00010671
44854c52|info:INFO_IKENX4_00010672
44854c53|info:INFO_IKENX4_00010673
44854c54|info:INFO_IKENX4_00010674
44854c55|info:INFO_IKENX4_00010675
44854c56|info:INFO_IKENX4_00010676
44854c57|info:INFO_IKENX4_00010677
44854c59|info:INFO_IKENX4_00010679
44854c71|info:INFO_IKENX4_00010680
44854c72|info:INFO_IKENX4_00010681
44854c73|info:INFO_IKENX4_00010682
44854c74|info:INFO_IKENX4_00010683
44854c75|info:INFO_IKENX4_00010684
44854c76|info:INFO_IKENX4_00010685
44854c77|info:INFO_IKENX4_00010686
44854c7a|info:INFO_IKENX4_00010689
44854c92|info:INFO_IKENX4_00010690
44854c93|info:INFO_IKENX4_00010691
44854c94|info:INFO_IKENX4_00010692
44854c95|info:INFO_IKENX4_00010693
44854c96|info:INFO_IKENX4_00010694
44854c97|info:INFO_IKENX4_00010695
44854c98|info:INFO_IKENX4_00010696
44854c99|info:INFO_IKENX4_00010697
44854c9a|info:INFO_IKENX4_00010698
44854c9b|info:INFO_IKENX4_00010699
44854faa|info:INFO_IKENX4_00010700
44854fab|info:INFO_IKENX4_00010701
44854fac|info:INFO_IKENX4_00010702
44854fad|info:INFO_IKENX4_00010703
44854fae|info:INFO_IKENX4_00010704
44854faf|info:INFO_IKENX4_00010705
44854fb0|info:INFO_IKENX4_00010706
44854fb1|info:INFO_IKENX4_00010707
44854fb2|info:INFO_IKENX4_00010708
44854fb3|info:INFO_IKENX4_00010709
44854fcb|info:INFO_IKENX4_00010710
44854fcc|info:INFO_IKENX4_00010711
44854fcd|info:INFO_IKENX4_00010712
44854fce|info:INFO_IKENX4_00010713
44854fcf|info:INFO_IKENX4_00010714
44854fd0|info:INFO_IKENX4_00010715
44854fd1|info:INFO_IKENX4_00010716
44854fd2|info:INFO_IKENX4_00010717
44854fd3|info:INFO_IKENX4_00010718
44854fd4|info:INFO_IKENX4_00010719
44854fec|info:INFO_IKENX4_00010720
44854fed|info:INFO_IKENX4_00010721
44854fee|info:INFO_IKENX4_00010722
44854fef|info:INFO_IKENX4_00010723
44854ff0|info:INFO_IKENX4_00010724
44854ff1|info:INFO_IKENX4_00010725
44854ff2|info:INFO_IKENX4_00010726
44854ff3|info:INFO_IKENX4_00010727
44854ff4|info:INFO_IKENX4_00010728
44854ff5|info:INFO_IKENX4_00010729
4485500d|info:INFO_IKENX4_00010730
4485500e|info:INFO_IKENX4_00010731
4485500f|info:INFO_IKENX4_00010732
44855010|info:INFO_IKENX4_00010733
44855011|info:INFO_IKENX4_00010734
44855012|info:INFO_IKENX4_00010735
44855014|info:INFO_IKENX4_00010737
44855015|info:INFO_IKENX4_00010738
44855016|info:INFO_IKENX4_00010739
4485502e|info:INFO_IKENX4_00010740
4485502f|info:INFO_IKENX4_00010741
44855030|info:INFO_IKENX4_00010742
44855031|info:INFO_IKENX4_00010743
44855033|info:INFO_IKENX4_00010745
44855034|info:INFO_IKENX4_00010746
44855035|info:INFO_IKENX4_00010747
44855036|info:INFO_IKENX4_00010748
44855037|info:INFO_IKENX4_00010749
4485504f|info:INFO_IKENX4_00010750
44855050|info:INFO_IKENX4_00010751
44855051|info:INFO_IKENX4_00010752
44855052|info:INFO_IKENX4_00010753
44855053|info:INFO_IKENX4_00010754
44855054|info:INFO_IKENX4_00010755
44855055|info:INFO_IKENX4_00010756
44855056|info:INFO_IKENX4_00010757
44855057|info:INFO_IKENX4_00010758
44855058|info:INFO_IKENX4_00010759
44855070|info:INFO_IKENX4_00010760
44855071|info:INFO_IKENX4_00010761
44855072|info:INFO_IKENX4_00010762
44855073|info:INFO_IKENX4_00010763
44855074|info:INFO_IKENX4_00010764
44855075|info:INFO_IKENX4_00010765
44855076|info:INFO_IKENX4_00010766
44855077|info:INFO_IKENX4_00010767
44855078|info:INFO_IKENX4_00010768
44855079|info:INFO_IKENX4_00010769
44855091|info:INFO_IKENX4_00010770
44855092|info:INFO_IKENX4_00010771
44855093|info:INFO_IKENX4_00010772
44855094|info:INFO_IKENX4_00010773
44855097|info:INFO_IKENX4_00010776
44855098|info:INFO_IKENX4_00010777
44855099|info:INFO_IKENX4_00010778
4485509a|info:INFO_IKENX4_00010779
448550b2|info:INFO_IKENX4_00010780
448550b3|info:INFO_IKENX4_00010781
448550b4|info:INFO_IKENX4_00010782
448550b5|info:INFO_IKENX4_00010783
448550b6|info:INFO_IKENX4_00010784
448550b7|info:INFO_IKENX4_00010785
448550b8|info:INFO_IKENX4_00010786
448550b9|info:INFO_IKENX4_00010787
448550ba|info:INFO_IKENX4_00010788
448550bb|info:INFO_IKENX4_00010789
448550d4|info:INFO_IKENX4_00010791
448550d5|info:INFO_IKENX4_00010792
448550d7|info:INFO_IKENX4_00010794
448550d8|info:INFO_IKENX4_00010795
448550d9|info:INFO_IKENX4_00010796
448550da|info:INFO_IKENX4_00010797
448550db|info:INFO_IKENX4_00010798
448550dc|info:INFO_IKENX4_00010799
448553eb|info:INFO_IKENX4_00010800
448553ec|info:INFO_IKENX4_00010801
448553ed|info:INFO_IKENX4_00010802
448553ee|info:INFO_IKENX4_00010803
448553ef|info:INFO_IKENX4_00010804
448553f0|info:INFO_IKENX4_00010805
448553f1|info:INFO_IKENX4_00010806
448553f2|info:INFO_IKENX4_00010807
448553f3|info:INFO_IKENX4_00010808
448553f4|info:INFO_IKENX4_00010809
4485540c|info:INFO_IKENX4_00010810
4485540d|info:INFO_IKENX4_00010811
4485540e|info:INFO_IKENX4_00010812
4485540f|info:INFO_IKENX4_00010813
44855410|info:INFO_IKENX4_00010814
44855411|info:INFO_IKENX4_00010815
44855412|info:INFO_IKENX4_00010816
44855413|info:INFO_IKENX4_00010817
44855414|info:INFO_IKENX4_00010818
44855415|info:INFO_IKENX4_00010819
4485542d|info:INFO_IKENX4_00010820
44855430|info:INFO_IKENX4_00010823
44855431|info:INFO_IKENX4_00010824
44855432|info:INFO_IKENX4_00010825
44855433|info:INFO_IKENX4_00010826
44855434|info:INFO_IKENX4_00010827
44855435|info:INFO_IKENX4_00010828
44855436|info:INFO_IKENX4_00010829
4485544e|info:INFO_IKENX4_00010830
4485544f|info:INFO_IKENX4_00010831
44855450|info:INFO_IKENX4_00010832
44855451|info:INFO_IKENX4_00010833
44855452|info:INFO_IKENX4_00010834
44855453|info:INFO_IKENX4_00010835
44855454|info:INFO_IKENX4_00010836
44855455|info:INFO_IKENX4_00010837
44855456|info:INFO_IKENX4_00010838
44855457|info:INFO_IKENX4_00010839
4485546f|info:INFO_IKENX4_00010840
